name,cost,type,paradigm,atkdmg,ravdmg,chain,target,var,duration,cut,keep,evade,pain,fog,rise,element,effect,chance,length
FROST STRIKE,1,ATTACK,RAVAGER,1.2,0,10,0,0.04,0.9,35,35,N,Y,N,0,I,N/A,-1,-1
SPARK STRIKE,1,ATTACK,RAVAGER,1.2,0,10,0,0.04,0.9,35,35,N,Y,N,0,T,N/A,-1,-1
AQUA STRIKE,1,ATTACK,RAVAGER,1.2,0,10,0,0.04,0.9,35,35,N,Y,N,0,W,N/A,-1,-1
ARMY OF ONE,5,ATTACK,RAVAGER,3.3,0,0,0,0.04,0,50,90,N,Y,Y,0,,N/A,-1,-1
COLD BLOOD,5,ATTACK,RAVAGER,1.7,0,0,0,0.09,0,50,90,N,Y,Y,0,,N/A,-1,-1
LAST RESORT,5,ATTACK,RAVAGER,0,4,0,6,0.09,0,50,90,N,Y,Y,0,,N/A,-1,-1
PROVOKE,1,PROVOKE,SENTINEL,0,0,2,4,-1,5,10,40,N,Y,N,0,N/A,PROV,0.45,50
CHALLENGE,1,PROVOKE,SENTINEL,0,0,2,0,-1,5,10,40,N,Y,N,0,N/A,PROV,0.99,150
VENDETTA,1,COUNTER,SENTINEL,1.8,0,0.5,0,0.04,3.33,35,99,Y,Y,N,0,N/A,N/A,-1,-1
ENTRENCH,1,COUNTER,SENTINEL,1.8,0,0.5,0,0.04,3.33,35,99,Y,Y,N,0,N/A,N/A,-1,-1
RISE GUARD,1,GUARD,SENTINEL,0,0,0,-1,0,0,-1,99,N/A,Y,N,0,N/A,N/A,-1,-1
MEDIGUARD,1,GUARD,SENTINEL,0,0,0,-1,0,0,-1,99,N/A,Y,N,0,N/A,N/A,-1,-1
ELUDE,1,EVADE,SENTINEL,0,0,0,-1,0,0,-1,99,N/A,Y,N,0,N/A,N/A,-1,-1
DEPROTECT,1,DEBUFF,SABOTEUR,0,0.3,4,0,0.09,2.2,10,25,N,N,Y,0,N/A,DEPRO,0.4,60
DEPROTEGA,3,DEBUFF,SABOTEUR,0,0.3,4,4,0.09,2.2,10,25,N,N,Y,0,N/A,DEPRO,0.3,60
DESHELL,1,DEBUFF,SABOTEUR,0,0.3,4,0,0.09,2.2,10,25,N,N,Y,0,N/A,DESHL,0.4,60
DESHELLGA,3,DEBUFF,SABOTEUR,0,0.3,4,4,0.09,2.2,10,25,N,N,Y,0,N/A,DESHL,0.3,60
IMPERIL,1,DEBUFF,SABOTEUR,0,0.3,4,0,0.09,2.2,10,25,N,N,Y,0,N/A,WEAK,0.3,60
IMPERILGA,3,DEBUFF,SABOTEUR,0,0.3,4,4,0.09,2.2,10,25,N,N,Y,0,N/A,WEAK,0.24,60
POISON,1,DEBUFF,SABOTEUR,0,0.3,4,0,0.09,2.2,10,25,N,N,Y,0,N/A,POISON,0.3,60
POISONGA,3,DEBUFF,SABOTEUR,0,0.3,4,4,0.09,2.2,10,25,N,N,Y,0,N/A,POISON,0.24,60
SLOW,1,DEBUFF,SABOTEUR,0,0.3,4,0,0.09,2.2,10,25,N,N,Y,0,N/A,SLOW,0.3,60
SLOWGA,3,DEBUFF,SABOTEUR,0,0.3,4,4,0.09,2.2,10,25,N,N,Y,0,N/A,SLOW,0.24,60
FOG,1,DEBUFF,SABOTEUR,0,0.3,4,0,0.09,2.2,10,25,N,N,Y,0,N/A,FOG,0.2,60
FOGGA,3,DEBUFF,SABOTEUR,0,0.3,4,4,0.09,2.2,10,25,N,N,Y,0,N/A,FOG,0.15,60
PAIN,1,DEBUFF,SABOTEUR,0,0.3,4,0,0.09,2.2,10,25,N,N,Y,0,N/A,PAIN,0.2,60
PAINGA,3,DEBUFF,SABOTEUR,0,0.3,4,4,0.09,2.2,10,25,N,N,Y,0,N/A,PAIN,0.15,60
CURSE,1,DEBUFF,SABOTEUR,0,0.3,4,0,0.09,2.2,10,25,N,N,Y,0,N/A,CURSE,0.2,60
CURSEGA,3,DEBUFF,SABOTEUR,0,0.3,4,4,0.09,2.2,10,25,N,N,Y,0,N/A,CURSE,0.15,60
DAZE,1,DEBUFF,SABOTEUR,0,0.3,4,0,0.09,2.2,10,25,N,N,Y,0,N/A,DAZE,0.3,60
DAZEGA,3,DEBUFF,SABOTEUR,0,0.3,4,4,0.09,2.2,10,25,N,N,Y,0,N/A,DAZE,0.24,60
DISPEL,1,DEBUFF,SABOTEUR,0,0.3,4,0,0.09,2.2,10,25,N,N,Y,0,N/A,DSPEL,1,-1
